,before,bm,bt,fbm,fbt
0,2.072007656097412,1.2552242279052734,1.3485021591186523,1.219275712966919,2.8831329345703125
1,2.1188955307006836,1.2548727989196777,1.3575119972229004,1.2466967105865479,2.8497581481933594
2,2.1176488399505615,1.2357416152954102,1.3616609573364258,1.2523713111877441,2.8221917152404785
3,2.1342809200286865,1.2342901229858398,1.3337879180908203,1.2571702003479004,2.8561575412750244
4,2.0247230529785156,1.2538905143737793,1.3537018299102783,1.243093490600586,2.826261043548584
5,2.134150505065918,1.1542227268218994,1.362516164779663,1.2489776611328125,2.7708585262298584
6,2.1232850551605225,1.2615625858306885,1.34840726852417,1.247791051864624,2.765367269515991
7,2.106813430786133,1.2338566780090332,1.3690502643585205,1.249814510345459,2.756761074066162
8,2.094170570373535,1.2407371997833252,1.3634355068206787,1.2562892436981201,2.7806615829467773
9,1.961073398590088,1.240157127380371,1.3635144233703613,1.2483351230621338,2.771007776260376
min,1.961073398590088,1.1542227268218994,1.3337879180908203,1.219275712966919,2.756761074066162
max,2.1342809200286865,1.2615625858306885,1.3690502643585205,1.2571702003479004,2.8831329345703125
avg,2.0818669398625693,1.2316950758298237,1.3554105559984844,1.2455217440923054,2.8101709683736167
