,before,hash,range
0,2.320937156677246,1.993485689163208,0.24740147590637207
1,2.412519931793213,1.9940810203552246,0.29558873176574707
2,2.447129011154175,2.046051263809204,0.2542846202850342
3,2.4197826385498047,2.039867639541626,0.2850148677825928
4,2.4662015438079834,2.1493186950683594,0.25818371772766113
5,2.3492579460144043,2.201331853866577,0.2615816593170166
6,2.227374315261841,2.201648712158203,0.2495439052581787
7,2.3902971744537354,2.273482322692871,0.27689290046691895
8,2.367464780807495,2.2440624237060547,0.25182318687438965
9,2.3539319038391113,2.2557194232940674,0.25087571144104004
min,2.227374315261841,1.993485689163208,0.24740147590637207
max,2.4662015438079834,2.273482322692871,0.29558873176574707
avg,2.370706021785736,2.138834754625956,0.26451508204142254
